atom,p3
T1_1164791,1
T1_638621,1
T1_748432,1
T1_748908,1
T1_1722667,1
T1_1164916,1
T1_286536,1
T1_699373,1
T1_753410,1
T1_754665,1
T1_388702,1
T1_1300576,1
T1_346139,1
T1_815553,1
T1_355438,1
T1_128747,1
T1_657399,1
T1_1524468,1
T1_1252954,1
T1_1097837,1
T1_1547612,1
T1_1351525,1
T1_1790539,1
T1_1524034,1
T1_1351307,1
T1_267035,1
T1_806785,1
T1_1681038,1
T1_816036,1
T1_231548,1
T1_526157,1
T1_657053,1
T1_313418,1
T1_996994,1
T1_1524284,1
T1_644017,1
T1_308243,1
T1_185215,1
T1_718587,1
T1_719961,1
T1_189700,1
T1_128695,1
T1_751527,1
T1_1245718,1
T1_300556,1
T1_1547712,1
T1_639776,1
T1_1716160,1
T1_746656,1
T1_605051,1
T1_615555,1
T1_1175208,1
T1_745339,1
T1_1414945,1
T1_806742,1
T1_183203,1
T1_638922,1
T1_630007,1
T1_815334,1
T1_1175322,1
T1_750135,1
T1_751556,1
T1_628978,1
T1_938089,1
T1_1342617,1
T1_749064,1
T1_98432,1
T1_754656,1
T1_126395,1
T1_1547247,1
T1_763718,1
T1_640353,1
T1_698124,1
T1_26630,1
T1_936860,1
T1_252014,1
T1_717996,1
T1_1252412,1
T1_877483,1
T1_1704587,1
T1_1577781,1
T1_267083,1
T1_1838165,1
T1_1102406,1
T1_750473,1
T1_1351625,1
T1_747949,1
T1_710029,1
T1_1678278,1
T1_455120,1
T1_346232,1
T1_177692,1
T1_840630,1
T1_699562,1
T1_749040,1
T1_746620,1
T1_1300309,1
T1_1411702,1
T1_1429418,1
T1_752680,1
T1_1469597,1
T1_748546,1
T1_1547382,1
T1_754289,1
T1_745646,1
T1_223512,1
T1_753241,1
T1_657080,1
T1_339110,1
T1_745919,1
T1_752191,1
T1_1416791,1
T1_717205,1
T1_699550,1
T1_698396,1
T1_1016961,1
T1_748976,1
T1_47746,1
T1_657814,1
T1_629623,1
T1_628854,1
T1_746059,1
T1_1523881,1
T1_1414614,1
T1_186430,1
T1_1018906,1
T1_750190,1
T1_746634,1
T1_274075,1
T1_751742,1
T1_629284,1
T1_754675,1
T1_1547538,1
T1_602001,1
T1_1361438,1
T1_754857,1
T1_750624,1
T1_752161,1
T1_753347,1
T1_717396,1
T1_815889,1
T1_186276,1
T1_198078,1
T1_1758852,1
T1_1647175,1
T1_1431041,1
T1_937473,1
T1_272564,1
T1_1704511,1
T1_1678311,1
T1_1678503,1
T1_605361,1
T1_1164729,1
T1_1078404,1
T1_699138,1
T1_1038475,1
T1_638703,1
T1_186327,1
T1_332336,1
T1_750856,1
T1_719693,1
T1_698715,1
T1_25955,1
T1_348983,1
T1_754740,1
T1_745428,1
T1_452657,1
T1_778195,1
T1_1840190,1
T1_719702,1
T1_719874,1
T1_698532,1
T1_750431,1
T1_746194,1
T1_718462,1
T1_1342652,1
T1_717397,1
T1_699563,1
T1_752108,1
T1_1620679,1
T1_605209,1
T1_1524321,1
T1_748916,1
T1_227266,1
T1_169178,1
T1_750192,1
T1_749049,1
T1_628015,1
T1_704378,1
T1_601883,1
T1_748102,1
T1_640129,1
T1_1252627,1
T1_176300,1
T1_1342764,1
T1_474871,1
T1_1790561,1
T1_767885,1
T1_601415,1
T1_754800,1
T1_747954,1
T1_750323,1
T1_753192,1
T1_639597,1
T1_1351809,1
T1_177521,1
T1_1523685,1
T1_753196,1
T1_718176,1
T1_1411968,1
T1_750249,1
T1_752523,1
T1_1654792,1
T1_1654785,1
T1_274387,1
T1_1342910,1
T1_745540,1
T1_1681102,1
T1_1342843,1
T1_196776,1
T1_169218,1
T1_1416829,1
T1_639475,1
T1_602087,1
T1_307992,1
T1_1696482,1
T1_754724,1
T1_752533,1
T1_1300798,1
T1_718565,1
T1_542957,1
T1_657107,1
T1_877442,1
T1_560937,1
T1_224418,1
T1_629319,1
T1_745984,1
T1_1411867,1
T1_1164728,1
T1_1840261,1
T1_639709,1
T1_1523905,1
T1_1164789,1
T1_937628,1
T1_746961,1
T1_294479,1
T1_244302,1
T1_1102323,1
T1_299871,1
T1_629661,1
T1_1414982,1
T1_746506,1
T1_198231,1
T1_754128,1
T1_717023,1
T1_307142,1
T1_943797,1
T1_1351379,1
T1_877425,1
T1_815508,1
T1_698947,1
T1_129546,1
T1_815602,1
T1_814774,1
T1_938209,1
T1_1681259,1
T1_751792,1
T1_707742,1
T1_247987,1
T1_274136,1
T1_1300478,1
T1_748817,1
T1_750675,1
T1_745590,1
T1_747139,1
T1_630037,1
T1_1175209,1
T1_1227088,1
T1_299030,1
T1_601814,1
T1_699445,1
T1_198172,1
T1_717285,1
T1_698457,1
T1_629107,1
T1_1164918,1
T1_1056730,1
T1_750071,1
T1_1416751,1
T1_746271,1
T1_747140,1
T1_747985,1
T1_639177,1
T1_937172,1
T1_754741,1
T1_638723,1
T1_177635,1
T1_746625,1
T1_816206,1
T1_495722,1
T1_639632,1
T1_32376,1
T1_1469698,1
T1_255310,1
T1_615488,1
T1_155192,1
T1_753273,1
T1_717925,1
T1_1034918,1
T1_750072,1
T1_639415,1
T1_457191,1
T1_1164790,1
T1_719592,1
T1_815422,1
T1_128828,1
T1_89904,1
T1_750074,1
T1_767861,1
T1_1304674,1
T1_1414648,1
T1_699190,1
T1_600069,1
T1_698546,1
T1_201501,1
T1_169263,1
T1_299047,1
T1_315479,1
T1_745506,1
T1_748470,1
T1_524744,1
T1_745422,1
T1_1704512,1
T1_299062,1
T1_1415019,1
T1_286484,1
T1_186483,1
T1_1351453,1
T1_274267,1
T1_628922,1
T1_778103,1
T1_709869,1
T1_750324,1
T1_754288,1
T1_543064,1
T1_1342577,1
T1_1678654,1
T1_698209,1
T1_751554,1
T1_1429317,1
T1_629225,1
T1_750250,1
T1_698294,1
T1_1175207,1
T1_745659,1
T1_560988,1
T1_229160,1
T1_717917,1
T1_643916,1
T1_1175324,1
T1_718367,1
T1_1260102,1
T1_745932,1
T1_710155,1
T1_601463,1
T1_680382,1
T1_52326,1
T1_754818,1
T1_1758904,1
T1_627989,1
T1_754652,1
T1_1678376,1
T1_638655,1
T1_605118,1
T1_745478,1
T1_237449,1
T1_254146,1
T1_750985,1
T1_186206,1
T1_862410,1
T1_435201,1
T1_1252770,1
T1_698473,1
T1_639428,1
T1_698687,1
T1_746627,1
T1_124246,1
T1_605282,1
T1_286326,1
T1_602189,1
T1_1728749,1
T1_707787,1
T1_1165038,1
T1_815841,1
T1_1760495,1
T1_1547523,1
T1_717187,1
T1_1125459,1
T1_637308,1
T1_1486911,1
T1_533830,1
T1_1164854,1
T1_750689,1
T1_644982,1
T1_1547599,1
T1_753683,1
T1_139968,1
T1_718307,1
T1_639517,1
T1_657549,1
T1_1636252,1
T1_12370,1
T1_1620444,1
T1_301679,1
T1_524745,1
T1_251956,1
T1_374682,1
T1_750191,1
T1_219293,1
T1_1488452,1
T1_1227013,1
T1_745983,1
T1_605662,1
T1_751689,1
T1_286223,1
T1_199358,1
T1_204513,1
T1_816150,1
T1_815791,1
T1_787502,1
T1_1164917,1
T1_639571,1
T1_128990,1
T1_1050978,1
T1_495792,1
T1_938183,1
T1_452186,1
T1_718002,1
T1_7315,1
T1_1547454,1
T1_66958,1
T1_1164855,1
T1_1728708,1
T1_751584,1
T1_177578,1
T1_639448,1
T1_177920,1
T1_698459,1
T1_161958,1
T1_273080,1
T1_1840191,1
T1_699442,1
T1_748553,1
T1_1429270,1
T1_937798,1
T1_1435609,1
T1_1102498,1
T1_323756,1
T1_750389,1
T1_1078199,1
T1_639457,1
T1_542820,1
T1_1646996,1
T1_745328,1
T1_202764,1
T1_816092,1
T1_751528,1
T1_1239250,1
T1_197751,1
T1_1165035,1
T1_746954,1
T1_699199,1
T1_753314,1
T1_444956,1
T1_745905,1
T1_1654707,1
T1_1681263,1
T1_1620680,1
T1_698372,1
T1_216846,1
T1_1704586,1
T1_699491,1
T1_745372,1
T1_1175149,1
T1_638749,1
T1_806559,1
T1_1319687,1
T1_1342802,1
T1_717180,1
T1_1524283,1
T1_543230,1
T1_752509,1
T1_8622,1
T1_750247,1
T1_1523613,1
T1_638884,1
T1_698155,1
T1_746208,1
T1_752600,1
T1_186127,1
T1_960414,1
T1_657888,1
T1_937198,1
T1_752175,1
T1_1469634,1
T1_937547,1
T1_224939,1
T1_1164851,1
T1_560835,1
T1_305328,1
T1_1252459,1
T1_750872,1
T1_745596,1
T1_286381,1
T1_601930,1
T1_752023,1
T1_639668,1
T1_753234,1
T1_452504,1
T1_746947,1
T1_657141,1
T1_1319763,1
T1_751445,1
T1_644157,1
T1_752022,1
T1_877423,1
T1_753674,1
T1_698381,1
T1_960385,1
T1_1102414,1
T1_637097,1
T1_196821,1
T1_1435807,1
T1_643910,1
T1_747675,1
T1_984877,1
T1_753235,1
T1_640029,1
T1_639121,1
T1_177749,1
T1_1125421,1
T1_297840,1
T1_314393,1
T1_745484,1
T1_177803,1
T1_717902,1
T1_699267,1
T1_12320,1
T1_741238,1
T1_255218,1
T1_745534,1
T1_748313,1
T1_751728,1
T1_638977,1
T1_1351235,1
T1_717264,1
T1_754850,1
T1_1240134,1
T1_1342690,1
T1_657166,1
T1_1676258,1
T1_240341,1
T1_698181,1
T1_1722771,1
T1_699283,1
T1_698559,1
T1_637166,1
T1_639341,1
T1_1175269,1
T1_183289,1
T1_640069,1
T1_1716205,1
T1_441368,1
T1_1164914,1
T1_1102565,1
T1_1416872,1
T1_699504,1
T1_1351588,1
T1_719852,1
T1_698159,1
T1_332367,1
T1_2267,1
T1_718000,1
T1_937094,1
T1_777754,1
T1_745970,1
T1_1411931,1
T1_753199,1
T1_602142,1
T1_719934,1
T1_1435887,1
T1_1164981,1
T1_815379,1
T1_746678,1
T1_1436259,1
T1_657831,1
T1_266988,1
T1_754367,1
T1_748815,1
T1_1164980,1
T1_1351664,1
T1_1681105,1
T1_629883,1
T1_750020,1
T1_1351703,1
T1_148302,1
T1_1435889,1
T1_937967,1
T1_748692,1
T1_383591,1
T1_1351435,1
T1_750021,1
T1_799084,1
T1_289950,1
T1_752756,1
T1_709847,1
T1_1840342,1
T1_748690,1
T1_189816,1
T1_717038,1
T1_511550,1
T1_699114,1
T1_718470,1
T1_753735,1
T1_202861,1
T1_638679,1
T1_747166,1
T1_629021,1
T1_1125489,1
T1_401413,1
T1_936922,1
T1_745317,1
T1_218694,1
T1_699330,1
T1_1351217,1
T1_637470,1
T1_1411876,1
T1_1466152,1
T1_778148,1
T1_777699,1
T1_630134,1
T1_980858,1
T1_1547750,1
T1_937424,1
T1_754028,1
T1_639395,1
T1_1704662,1
T1_1647294,1
T1_189630,1
T1_750189,1
T1_748975,1
T1_751741,1
T1_126195,1
T1_391151,1
T1_699215,1
T1_205072,1
T1_455066,1
T1_473763,1
T1_746946,1
T1_750854,1
T1_698712,1
T1_751734,1
T1_1056771,1
T1_1016930,1
T1_754731,1
T1_286439,1
T1_698312,1
T1_1646935,1
T1_177414,1
T1_644012,1
T1_1524317,1
T1_719860,1
T1_751426,1
T1_657864,1
T1_1279112,1
T1_748689,1
T1_549395,1
T1_295744,1
T1_1681040,1
T1_699228,1
T1_1219550,1
T1_129121,1
T1_168823,1
T1_190022,1
T1_698112,1
T1_629433,1
T1_1758958,1
T1_1175148,1
T1_806693,1
T1_1566217,1
T1_749045,1
T1_699316,1
T1_751726,1
T1_719948,1
T1_1351509,1
T1_296625,1
T1_1790484,1
T1_699338,1
T1_745906,1
T1_1240100,1
T1_751796,1
T1_628807,1
T1_1351361,1
T1_710214,1
T1_746962,1
T1_1577893,1
T1_1815932,1
T1_754653,1
T1_718018,1
T1_756325,1
T1_698444,1
T1_1840343,1
T1_746221,1
T1_746448,1
T1_638805,1
T1_549459,1
T1_750610,1
T1_1005951,1
T1_1239214,1
T1_928362,1
T1_638946,1
T1_1647103,1
T1_1125400,1
T1_750688,1
T1_745562,1
T1_32178,1
T1_1078402,1
T1_639493,1
T1_937688,1
T1_948683,1
T1_754735,1
T1_237083,1
T1_1411693,1
T1_1681183,1
T1_328666,1
T1_206041,1
T1_1226851,1
T1_719574,1
T1_1259397,1
T1_601535,1
T1_745311,1
T1_334777,1
T1_1518098,1
T1_178096,1
T1_748274,1
T1_718397,1
T1_629384,1
T1_1342733,1
T1_750855,1
T1_806810,1
T1_1728856,1
T1_718557,1
T1_806837,1
T1_605418,1
T1_1547441,1
T1_657993,1
T1_1676141,1
T1_699123,1
T1_474919,1
T1_1319762,1
T1_295969,1
T1_1102213,1
T1_286594,1
T1_639611,1
T1_178189,1
T1_1351289,1
T1_629071,1
T1_206545,1
T1_719462,1
T1_718580,1
T1_1678520,1
T1_1175145,1
T1_699151,1
T1_1300349,1
T1_1078264,1
T1_1486971,1
T1_756297,1
T1_750133,1
T1_1414685,1
T1_719808,1
T1_331115,1
T1_169126,1
T1_1226930,1
T1_745618,1
T1_777909,1
T1_1681180,1
T1_533989,1
T1_825834,1
T1_644155,1
T1_1636303,1
T1_754129,1
T1_143009,1
T1_698663,1
T1_262130,1
T1_699037,1
T1_640243,1
T1_1066435,1
T1_937739,1
T1_750022,1
T1_1414911,1
T1_754738,1
T1_657194,1
T1_746058,1
T1_644011,1
T1_270504,1
T1_747127,1
T1_128971,1
T1_936761,1
T1_639315,1
T1_111129,1
T1_1056817,1
T1_1524234,1
T1_745840,1
T1_1547814,1
T1_629924,1
T1_260504,1
T1_1435765,1
T1_748445,1
T1_543108,1
T1_718375,1
T1_452553,1
T1_698939,1
T1_1102508,1
T1_346256,1
T1_377887,1
T1_1469785,1
T1_629586,1
T1_1722683,1
T1_640149,1
T1_307641,1
T1_707806,1
T1_698268,1
T1_639878,1
T1_815937,1
T1_806374,1
T1_1164853,1
T1_756310,1
T1_119001,1
T1_707642,1
T1_1435767,1
T1_314448,1
T1_549417,1
T1_274482,1
T1_1084436,1
T1_1351847,1
T1_718678,1
T1_601697,1
T1_718542,1
T1_1696515,1
T1_747153,1
T1_169072,1
T1_707615,1
T1_629015,1
T1_1577778,1
T1_699040,1
T1_1517844,1
T1_753279,1
T1_745673,1
T1_1642965,1
T1_698684,1
T1_637403,1
T1_202923,1
T1_638771,1
T1_699281,1
T1_717020,1
T1_128910,1
T1_753311,1
T1_452707,1
T1_806451,1
T1_754864,1
T1_745750,1
T1_605724,1
T1_640176,1
T1_753317,1
T1_560886,1
T1_698297,1
T1_719926,1
T1_1414802,1
T1_815987,1
T1_287622,1
T1_301727,1
T1_549491,1
T1_751526,1
T1_745777,1
T1_750677,1
T1_717331,1
T1_754811,1
T1_574067,1
T1_746622,1
T1_748554,1
T1_699335,1
T1_8851,1
T1_937927,1
T1_12234,1
T1_751387,1
T1_748915,1
T1_1018836,1
T1_560552,1
T1_639986,1
T1_751708,1
T1_601655,1
T1_1416902,1
T1_1414761,1
T1_273135,1
T1_746045,1
T1_1722708,1
T1_746270,1
T1_787549,1
T1_348421,1
T1_189727,1
T1_710189,1
T1_543186,1
T1_177861,1
T1_1524316,1
T1_605775,1
T1_1259430,1
T1_862440,1
T1_348314,1
T1_69929,1
T1_206165,1
T1_2839,1
T1_286642,1
T1_260536,1
T1_667127,1
T1_643909,1
T1_877431,1
T1_754736,1
T1_1411745,1
T1_816257,1
T1_877446,1
T1_754027,1
T1_745764,1
T1_1435611,1
T1_747689,1
T1_1918337,1
T1_718300,1
T1_937848,1
T1_710098,1
T1_1225833,1
T1_574053,1
T1_639017,1
T1_561039,1
T1_747955,1
T1_709816,1
T1_754662,1
T1_752520,1
T1_639933,1
T1_928347,1
T1_1300709,1
T1_629522,1
T1_718485,1
T1_1547861,1
T1_1175147,1
T1_639450,1
T1_699441,1
T1_657521,1
T1_747235,1
T1_1175267,1
T1_752683,1
T1_1664708,1
T1_748680,1
T1_218965,1
T1_706609,1
T1_707723,1
T1_717190,1
T1_638845,1
T1_129092,1
T1_1728671,1
T1_752601,1
T1_443167,1
T1_602030,1
T1_1164727,1
T1_1577873,1
T1_747654,1
T1_472723,1
T1_1315253,1
T1_89892,1
T1_1435695,1
T1_299038,1
T1_718278,1
T1_45491,1
T1_750988,1
T1_49832,1
T1_542848,1
T1_815741,1
T1_750432,1
T1_1240121,1
T1_639221,1
T1_334748,1
T1_452131,1
T1_601583,1
T1_1164978,1
T1_1547320,1
T1_475316,1
T1_717395,1
T1_1416940,1
T1_707907,1
T1_1547305,1
T1_699376,1
T1_718390,1
